City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bretzfeld,0,DE,03/22/19,77,49.18,9.44,45,2.24
punta arenas,20,CL,03/22/19,87,-53.16,-70.91,48.2,9.17
saint george,40,GR,03/22/19,93,39.45,22.34,41,2.62
port elizabeth,40,US,03/22/19,60,39.31,-74.98,42.01,17.22
atuona,32,PF,03/22/19,99,-9.8,-139.03,82.58,15.82
qurunbaliyah,,,12/31/69,,,,,
rikitea,88,PF,03/22/19,100,-23.12,-134.97,78.35,18.84
hilo,75,US,03/22/19,73,19.71,-155.08,73.99,8.05
tuktoyaktuk,75,CA,03/22/19,76,69.44,-133.03,-4.01,19.46
hermanus,12,ZA,03/22/19,89,-34.42,19.24,64,5.01
mount isa,40,AU,03/22/19,43,-20.73,139.49,89.6,14.99
iracoubo,92,GF,03/22/19,83,5.48,-53.21,76.82,6.2
butaritari,88,KI,03/22/19,100,3.07,172.79,77.18,2.62
lampazos de naranjo,36,MX,03/22/19,74,27.02,-100.51,67.19,7.99
kattivakkam,40,IN,03/22/19,66,13.22,80.32,87.8,9.17
souillac,0,FR,03/22/19,75,45.6,-0.6,43,4.29
hakvik,,,12/31/69,,,,,
dubai,0,AE,03/22/19,47,25.27,55.3,78.01,6.93
tsihombe,,,12/31/69,,,,,
arraial do cabo,56,BR,03/22/19,93,-22.97,-42.02,76.37,8.88
umm lajj,24,SA,03/22/19,100,25.02,37.27,60.08,5.3
castro,90,CL,03/22/19,100,-42.48,-73.76,55.4,6.93
tasiilaq,68,GL,03/22/19,43,65.61,-37.64,12.2,6.93
qaanaaq,20,GL,03/22/19,92,77.48,-69.36,-29.57,9.33
pevek,0,RU,03/22/19,76,69.7,170.27,-3.38,2.62
albany,90,US,03/22/19,80,42.65,-73.75,34,25.28
saint-philippe,90,CA,03/22/19,94,45.36,-73.48,36,21.92
basco,1,US,03/22/19,64,40.33,-91.2,46.99,3.36
guzelyurt,0,TR,03/22/19,86,38.28,34.37,27,3.36
mataura,64,NZ,03/22/19,48,-46.19,168.86,76.82,5.19
sergeyevka,48,KZ,03/22/19,75,53.88,67.42,20.84,2.62
halifax,90,CA,03/22/19,100,44.65,-63.58,39,20.8
salihli,0,TR,03/22/19,86,38.48,28.15,33.17,2.06
houma,32,CN,03/22/19,43,35.63,111.36,49.64,2.28
kapaa,75,US,03/22/19,78,22.08,-159.32,78.8,20.8
cidreira,56,BR,03/22/19,99,-30.17,-50.22,63.5,10.67
pangai,20,TO,03/22/19,61,-19.8,-174.35,82.4,10.29
morant bay,20,JM,03/22/19,69,17.88,-76.41,78.8,5.82
bredasdorp,24,ZA,03/22/19,93,-34.53,20.04,64,3.36
bluff,0,AU,03/22/19,50,-23.58,149.07,90.32,8.21
geraldton,5,CA,03/22/19,61,49.72,-86.95,14,2.24
tabukiniberu,,,12/31/69,,,,,
lagoa,0,PT,03/22/19,71,37.14,-8.45,57,8.05
avarua,100,CK,03/22/19,78,-21.21,-159.78,82.4,3.36
busselton,0,AU,03/22/19,28,-33.64,115.35,72,13.24
svetlaya,32,RU,03/22/19,100,46.54,138.33,24.8,5.41
bethel,75,US,03/22/19,70,60.79,-161.76,42.8,8.05
airai,8,TL,03/22/19,57,-8.93,125.41,84.56,2.62
yulara,0,AU,03/22/19,10,-25.24,130.99,104,12.75
lompoc,1,US,03/22/19,87,34.64,-120.46,55.4,4.7
marsabit,0,KE,03/22/19,64,2.34,37.99,72.68,6.87
cape town,0,ZA,03/22/19,82,-33.93,18.42,68,9.17
sungairaya,20,ID,03/22/19,63,0.7,108.9,87.53,3.51
tomatlan,0,MX,03/22/19,82,19.93,-105.25,68.27,2.95
barrow,0,AR,03/22/19,65,-38.31,-60.23,60.98,12.57
necochea,0,AR,03/22/19,71,-38.55,-58.74,59,3
puerto ayora,0,EC,03/22/19,92,-0.74,-90.35,79,10.45
saryshagan,,,12/31/69,,,,,
westport,56,IE,03/22/19,79,53.8,-9.52,45,3
canavieiras,76,BR,03/22/19,94,-15.68,-38.95,78.08,5.97
taolanaro,,,12/31/69,,,,,
vaini,0,IN,03/22/19,21,15.34,74.49,84.2,6.93
jamestown,100,AU,03/22/19,67,-33.21,138.6,73.22,12.91
half moon bay,90,US,03/22/19,87,37.46,-122.43,55.99,6.93
illoqqortoormiut,,,12/31/69,,,,,
hasaki,75,JP,03/22/19,93,35.73,140.83,41,3.36
goure,8,NE,03/22/19,29,13.98,10.27,72.5,10.89
ushuaia,90,AR,03/22/19,93,-54.81,-68.31,46.4,6.93
thompson,20,CA,03/22/19,64,55.74,-97.86,35.6,5.82
lai,0,CN,03/22/19,70,27.82,91.75,38.93,1.61
isiro,0,CD,03/22/19,87,2.77,27.62,70.07,2.06
palabuhanratu,,,12/31/69,,,,,
upernavik,20,GL,03/22/19,100,72.79,-56.15,-13.91,6.64
olafsvik,,,12/31/69,,,,,
east london,0,ZA,03/22/19,83,-33.02,27.91,69.8,10.29
nanortalik,48,GL,03/22/19,96,60.14,-45.24,31.82,29.46
komsomolskiy,88,RU,03/22/19,82,67.55,63.78,18.59,2.95
chupei,,,12/31/69,,,,,
lewiston,20,US,03/22/19,87,46.42,-117.02,51.8,1.95
luderitz,0,,03/22/19,92,-26.65,15.16,57.11,7.87
mayo,20,CA,03/22/19,43,63.59,-135.9,50,6.93
imeni babushkina,64,RU,03/22/19,91,59.76,43.13,25.07,2.95
katherine,36,AU,03/22/19,59,-14.47,132.26,91.4,12.75
kaitangata,24,NZ,03/22/19,83,-46.28,169.85,64.85,8.99
hobart,75,AU,03/22/19,77,-42.88,147.33,68,9.17
paamiut,8,GL,03/22/19,100,61.99,-49.67,19.85,23.87
miri,56,NG,03/22/19,57,10.31,9.75,72.86,4.63
borba,0,PT,03/22/19,66,38.81,-7.46,43.97,7.99
esperance,75,TT,03/22/19,88,10.24,-61.45,78.01,6.93
chuy,36,UY,03/22/19,89,-33.69,-53.46,62.15,7.09
ndola,12,ZM,03/22/19,79,-12.97,28.64,64.13,8.99
muncar,80,ID,03/22/19,100,-8.43,114.34,78.8,3.18
port alfred,68,ZA,03/22/19,95,-33.59,26.89,64.99,12.46
san rafael,0,AR,03/22/19,68,-34.61,-68.33,51.53,4.52
severo-kurilsk,88,RU,03/22/19,95,50.68,156.12,32.18,9.33
pisco,0,PE,03/22/19,83,-13.71,-76.2,69.8,4.7
broome,24,GB,03/22/19,93,52.47,1.45,48.2,5.82
verkhoyansk,32,RU,03/22/19,58,67.55,133.39,4.28,3.74
calderitas,0,MX,03/22/19,93,18.55,-88.26,78.44,11.23
apastovo,90,RU,03/22/19,100,55.2,48.51,30.2,8.95
sakaiminato,90,JP,03/22/19,75,35.55,133.23,41,8.05
calatayud,0,ES,03/22/19,73,41.35,-1.64,42.8,3.36
san cristobal,40,EC,03/22/19,93,-0.39,-78.55,53.6,2.24
bambous virieux,75,MU,03/22/19,83,-20.34,57.76,82.4,10.29
san patricio,0,PY,03/22/19,83,-26.98,-56.83,61.25,2.73
dikson,64,RU,03/22/19,100,73.51,80.55,1.04,19.06
belushya guba,,,12/31/69,,,,,
bacuit,,,12/31/69,,,,,
nago,0,IT,03/22/19,65,45.88,10.89,48,4.7
chagoda,88,RU,03/22/19,94,59.16,35.33,32.81,5.53
lorengau,44,PG,03/22/19,97,-2.02,147.27,83.48,10
viligili,,,12/31/69,,,,,
amol,0,IR,03/22/19,100,36.47,52.35,42.35,0.72
manzil jamil,,,12/31/69,,,,,
willowmore,48,ZA,03/22/19,87,-33.3,23.49,46.67,2.39
jalu,0,LY,03/22/19,89,29.03,21.55,57.11,5.41
kondinskoye,88,RU,03/22/19,96,59.65,67.41,29.03,5.41
bela,8,PK,03/22/19,34,26.23,66.31,62.42,2.28
cabo san lucas,0,MX,03/22/19,74,22.89,-109.91,69.01,5.41
vaitupu,,,12/31/69,,,,,
codrington,0,AU,03/22/19,44,-28.95,153.24,93.2,10.29
srednekolymsk,8,RU,03/22/19,63,67.46,153.71,17.33,4.52
tenerife,12,CO,03/22/19,87,9.9,-74.86,76.91,13.02
port moresby,90,PG,03/22/19,78,-9.47,147.16,82.4,25.28
correntina,92,BR,03/22/19,98,-13.34,-44.63,68.18,3.29
koungou,,,12/31/69,,,,,
bandarbeyla,56,SO,03/22/19,100,9.49,50.81,77.9,7.31
boende,8,CD,03/22/19,97,-0.28,20.88,71.78,2.39
vardo,75,US,03/22/19,51,39.62,-77.74,39.2,19.46
nizhneyansk,,,12/31/69,,,,,
sitka,88,US,03/22/19,97,37.17,-99.65,45,13
taoudenni,44,ML,03/22/19,21,22.68,-3.98,68.72,11.68
kodiak,1,US,03/22/19,21,39.95,-94.76,53.01,9.17
new norfolk,75,AU,03/22/19,77,-42.78,147.06,68,9.17
dingle,12,PH,03/22/19,54,11,122.67,86.72,10.45
hobyo,88,SO,03/22/19,88,5.35,48.53,78.89,12.01
karlstad,92,SE,03/22/19,100,59.38,13.5,42.8,14.99
lebu,0,ET,03/22/19,78,8.96,38.73,45.5,4.07
mar del plata,88,AR,03/22/19,70,-46.43,-67.52,60.44,14.36
saleaula,,,12/31/69,,,,,
uige,92,AO,03/22/19,99,-7.61,15.06,67.73,1.61
aranos,48,,03/22/19,29,-24.14,19.11,70.43,7.31
roald,48,NO,03/22/19,93,62.58,6.12,41,35.57
galiwinku,,,12/31/69,,,,,
kenai,90,US,03/22/19,56,60.55,-151.26,44.6,11.41
auki,20,NG,03/22/19,65,12.18,6.51,68.09,2.73
amasya,0,TR,03/22/19,92,40.65,35.83,27,2.17
yellowknife,90,CA,03/22/19,73,62.45,-114.38,23,13.87
nawabganj,0,IN,03/22/19,32,26.86,82.14,73.04,11.45
port hedland,75,AU,03/22/19,74,-20.31,118.58,86,21.92
filadelfia,100,PY,03/22/19,76,-22.35,-60.04,75.2,6.31
la primavera,0,AR,03/22/19,63,-32.92,-68.67,62.6,3.36
ladushkin,0,RU,03/22/19,64,54.57,20.17,33.8,11.18
shache,8,CN,03/22/19,73,38.42,77.24,37.99,1.01
moree,0,AU,03/22/19,26,-29.46,149.84,96.8,11.41
catamarca,,,12/31/69,,,,,
ankazoabo,0,MG,03/22/19,84,-22.29,44.51,69.98,6.53
sawtell,0,AU,03/22/19,66,-30.38,153.1,89.6,10.29
porto novo,75,BR,03/22/19,100,-23.68,-45.44,64.4,3.36
barsovo,90,RU,03/22/19,100,61.17,73.17,26.6,4.47
coihaique,0,CL,03/22/19,87,-45.58,-72.07,51.8,3.36
charters towers,88,AU,03/22/19,82,-20.07,146.27,79.79,11.68
bella union,48,CO,03/22/19,94,8.5,-73.35,65.48,1.83
vostok,56,RU,03/22/19,43,46.45,135.83,21.02,4.74
altayskoye,0,RU,03/22/19,69,51.95,85.34,26.33,2.62
maniitsoq,0,GL,03/22/19,100,65.42,-52.9,-12.02,8.99
lata,20,IN,03/22/19,55,30.78,78.62,45.05,2.17
grao mogol,,,12/31/69,,,,,
mahebourg,75,MU,03/22/19,83,-20.41,57.7,82.4,10.29
ibra,44,OM,03/22/19,98,22.69,58.55,60.62,2.28
kahului,40,US,03/22/19,57,20.89,-156.47,78.8,19.46
torbay,90,CA,03/22/19,93,47.66,-52.73,37.99,28.86
marrakesh,0,MA,03/22/19,46,31.63,-7.99,53.6,3.36
yaounde,40,CM,03/22/19,100,3.87,11.52,66.2,2.24
misratah,48,LY,03/22/19,100,32.38,15.09,56.57,11.79
faya,0,SA,03/22/19,51,18.39,42.45,60.8,6.93
georgetown,0,GY,03/22/19,88,6.8,-58.16,73.4,4.7
atar,76,MR,03/22/19,55,20.52,-13.05,73.22,15.14
marsa matruh,40,EG,03/22/19,87,31.35,27.25,60.8,9.17
kavieng,8,PG,03/22/19,100,-2.57,150.8,82.4,7.87
kisangani,76,CD,03/22/19,100,0.52,25.21,71.33,2.39
te anau,24,NZ,03/22/19,48,-45.41,167.72,71.51,3.62
tautira,20,PF,03/22/19,70,-17.73,-149.15,86,10.29
quatre cocos,75,MU,03/22/19,83,-20.21,57.76,82.4,10.29
ninotsminda,20,GE,03/22/19,79,41.27,43.59,19.4,2.24
berdigestyakh,76,RU,03/22/19,73,62.1,126.7,14.81,5.86
ribeira grande,92,PT,03/22/19,99,38.52,-28.7,60.8,12.68
ust-maya,0,RU,03/22/19,51,60.42,134.54,7.52,3.74
caraballeda,40,VE,03/22/19,88,10.61,-66.85,78.8,10.56
zhangjiakou,0,CN,03/22/19,71,40.77,114.88,29.48,6.08
hithadhoo,48,MV,03/22/19,98,-0.6,73.08,86.09,5.3
muscle shoals,1,US,03/22/19,81,34.75,-87.67,52,7.43
viedma,12,AR,03/22/19,61,-40.81,-62.99,58.19,6.53
salalah,40,OM,03/22/19,74,17.01,54.1,78.8,10.29
tubruq,,,12/31/69,,,,,
shingu,20,JP,03/22/19,100,33.72,135.99,51.8,12.75
letterkenny,48,IE,03/22/19,88,54.95,-7.73,45.86,22.08
leningradskiy,0,RU,03/22/19,86,69.38,178.42,-9.77,5.41
dingli,40,MT,03/22/19,87,35.86,14.38,57.2,10.29
chokurdakh,0,RU,03/22/19,85,70.62,147.9,-2.75,8.99
borger,8,NL,03/22/19,93,52.92,6.79,45,4.7
korla,,,12/31/69,,,,,
batsfjord,80,NO,03/22/19,100,70.63,29.72,33.26,28.34
poum,40,MK,03/22/19,51,41.28,20.71,39.2,3.36
hokota,75,JP,03/22/19,93,36.26,140.53,41,3.36
havre-saint-pierre,90,CA,03/22/19,94,50.23,-63.6,33.8,19.46
san juan,0,AR,03/22/19,68,-31.54,-68.53,55.67,0.94
antofagasta,0,CL,03/22/19,82,-23.65,-70.4,62.6,2.24
daru,80,SL,03/22/19,82,7.99,-10.85,75.65,2.95
asau,,,12/31/69,,,,,
ambulu,20,ID,03/22/19,100,-8.35,113.61,82.76,2.17
hay river,40,CA,03/22/19,86,60.82,-115.79,26.6,8.05
baneh,0,IR,03/22/19,100,35.99,45.88,35.6,3.36
acapulco,5,MX,03/22/19,78,16.86,-99.88,80.6,6.93
grindavik,40,IS,03/22/19,100,63.84,-22.43,33.01,31.09
curanilahue,48,CL,03/22/19,89,-37.48,-73.35,52.07,5.75
gurgan,,,12/31/69,,,,,
college,75,US,03/22/19,48,64.86,-147.8,50,5.82
la paz,0,MX,03/22/19,67,24.15,-110.32,63.95,7.65
dolores,0,AR,03/22/19,88,-36.31,-57.68,53.6,8.99
warmbad,0,DE,03/22/19,100,50.67,13.08,48,3.36
faanui,56,PF,03/22/19,100,-16.48,-151.75,85.1,6.98
naze,40,NG,03/22/19,94,5.43,7.07,75.2,6.53
samusu,,,12/31/69,,,,,
maryanovka,,,12/31/69,,,,,
mergui,,,12/31/69,,,,,
vila franca do campo,75,PT,03/22/19,87,37.72,-25.43,59,10.29
louisbourg,,,12/31/69,,,,,
anadyr,24,RU,03/22/19,76,64.73,177.51,-5.01,22.37
tupsan,0,PH,03/22/19,70,9.2,124.78,83.03,6.53
sabang,48,PH,03/22/19,77,13.72,123.58,82.58,8.99
nelson bay,0,AU,03/22/19,45,-32.72,152.14,86,6.93
camacha,40,PT,03/22/19,67,33.08,-16.33,60.8,9.17
sibiti,92,CG,03/22/19,98,-3.69,13.35,72.5,3.85
sentyabrskiy,,,12/31/69,,,,,
sangar,68,RU,03/22/19,60,63.92,127.47,6.98,13.35
saskylakh,36,RU,03/22/19,85,71.97,114.09,-2.93,17.05
sanming,92,CN,03/22/19,100,26.24,117.6,57.47,1.72
ferrol,0,ES,03/22/19,93,43.48,-8.23,48.99,4.7
ambilobe,32,MG,03/22/19,93,-13.19,49.05,72.14,3.06
oranjemund,0,ZA,03/22/19,93,-28.55,16.43,61.7,3.06
penzance,92,GB,03/22/19,93,50.12,-5.53,51.01,12.75
diu,0,IN,03/22/19,48,20.71,70.98,74.93,6.53
high level,20,CA,03/22/19,56,58.52,-117.13,44.6,5.82
bambanglipuro,48,ID,03/22/19,95,-7.95,110.28,82.4,4.97
ancud,90,CL,03/22/19,100,-41.87,-73.83,55.4,6.93
carnarvon,56,ZA,03/22/19,67,-30.97,22.13,49.46,3.51
gamba,0,CN,03/22/19,88,28.28,88.52,10.13,3.85
simao,0,CN,03/22/19,41,22.76,100.79,76.1,2.95
baykit,76,RU,03/22/19,80,61.68,96.39,25.07,10.67
levelland,75,US,03/22/19,71,33.59,-102.38,57.99,14.99
victoria,75,BN,03/22/19,66,5.28,115.24,89.6,4.7
huilong,92,CN,03/22/19,94,28.89,110.18,44.15,4.74
lavrentiya,92,RU,03/22/19,100,65.58,-170.99,15.8,19.06
marzuq,0,YE,03/22/19,72,14.4,46.47,45.05,2.39
quchan,24,IR,03/22/19,74,37.11,58.51,20.75,3.06
alotau,,,12/31/69,,,,,
nishihara,75,JP,03/22/19,70,35.74,139.53,48,9.17
coquimbo,90,CL,03/22/19,87,-29.95,-71.34,57.2,3.36
iqaluit,90,CA,03/22/19,75,63.75,-68.52,-20.01,3.36
barentsburg,,,12/31/69,,,,,
raton,1,US,03/22/19,51,36.9,-104.44,39,11.41
teguldet,92,RU,03/22/19,84,57.31,88.17,29.39,2.62
finschhafen,12,PG,03/22/19,81,-6.6,147.85,81.05,2.84
touros,40,BR,03/22/19,94,-5.2,-35.46,78.8,4.7
kuala terengganu,75,MY,03/22/19,66,5.33,103.14,89.6,4.7
jinchang,8,CN,03/22/19,87,38.52,102.19,32.9,3.29
nikolskoye,0,RU,03/22/19,79,59.7,30.79,30,4.47
krasnoselkup,,,12/31/69,,,,,
adre,0,TD,03/22/19,58,13.47,22.2,63.05,2.73
flinders,40,AU,03/22/19,65,-34.58,150.85,81,9.17
diamantino,32,BR,03/22/19,90,-14.4,-56.44,72.59,3.4
talnakh,0,RU,03/22/19,66,69.49,88.39,-0.86,3.74
grand river south east,,,12/31/69,,,,,
sinnamary,92,GF,03/22/19,94,5.38,-52.96,79.88,13.69
moyamba,36,SL,03/22/19,79,8.16,-12.43,78.08,4.18
tuatapere,48,NZ,03/22/19,70,-46.13,167.69,67.28,4.52
antigonish,90,CA,03/22/19,100,45.62,-61.99,45,9.17
tabiauea,,,12/31/69,,,,,
mount gambier,75,AU,03/22/19,56,-37.83,140.78,71.6,18.34
cayenne,90,GF,03/22/19,83,4.94,-52.33,78.8,8.05
attawapiskat,,,12/31/69,,,,,
usogorsk,80,RU,03/22/19,87,63.43,48.71,28.67,2.51
kirakira,8,SB,03/22/19,100,-10.46,161.92,85.1,6.42
saldanha,0,PT,03/22/19,81,41.42,-6.55,30.92,2.73
la ronge,5,CA,03/22/19,80,55.1,-105.3,33.8,2.24
monrovia,40,LR,03/22/19,94,6.33,-10.8,75.2,4.29
constitucion,20,MX,03/22/19,25,23.99,-104.67,62.6,17.22
ponta do sol,92,BR,03/22/19,94,-20.63,-46,64.58,10.45
carbonia,0,IT,03/22/19,87,39.17,8.53,53.01,6.93
ayagoz,8,KZ,03/22/19,82,47.96,80.43,23,3.29
brookside,75,US,03/22/19,74,40.07,-80.76,35.01,11.41
mogadishu,0,SO,03/22/19,99,2.04,45.34,81.95,20.18
yashkul,88,RU,03/22/19,71,46.17,45.34,36.32,11.45
saint-augustin,0,FR,03/22/19,86,44.83,-0.61,43,2.62
mys shmidta,,,12/31/69,,,,,
dunedin,48,NZ,03/22/19,79,-45.87,170.5,62.01,8.99
zomin,92,UZ,03/22/19,99,39.96,68.4,51.08,5.97
khao yoi,0,TH,03/22/19,41,13.24,99.82,91.4,4.7
nicoya,0,CR,03/22/19,32,10.15,-85.45,82.4,17.22
guerrero negro,0,MX,03/22/19,75,27.97,-114.04,59.63,13.35
tumannyy,,,12/31/69,,,,,
zhanaozen,56,KZ,03/22/19,89,43.35,52.85,35.33,2.95
linguere,,,12/31/69,,,,,
klaksvik,48,FO,03/22/19,47,62.23,-6.59,37.4,46.08
christchurch,0,NZ,03/22/19,68,-43.53,172.64,73,11.41
muroto,75,JP,03/22/19,37,33.37,134.14,55.4,10.29
san quintin,0,PH,03/22/19,49,17.54,120.52,85.28,3.74
warqla,,,12/31/69,,,,,
truth or consequences,1,US,03/22/19,17,33.13,-107.25,55.99,11.41
okandja,,,12/31/69,,,,,
cherskiy,0,RU,03/22/19,68,68.75,161.3,7.43,2.95
egvekinot,64,RU,03/22/19,77,66.32,-179.17,3.65,14.25
kaeo,92,NZ,03/22/19,69,-35.1,173.78,72,7
saint paul,1,US,03/22/19,75,44.95,-93.1,36,3.18
trat,20,TH,03/22/19,63,12.25,102.51,96.01,3.36
beringovskiy,76,RU,03/22/19,90,63.05,179.32,7.43,29.01
desaguadero,0,PE,03/22/19,91,-16.56,-69.04,38.3,3.4
arman,88,RU,03/22/19,77,59.7,150.17,23.9,11.9
palana,0,RU,03/22/19,61,59.08,159.95,28.85,12.46
abu samrah,36,SY,03/22/19,89,35.3,37.18,48.92,4.74
makakilo city,1,US,03/22/19,53,21.35,-158.09,78.8,8.05
buariki,,,12/31/69,,,,,
buala,36,SB,03/22/19,91,-8.15,159.59,84.29,3.85
tura,36,IN,03/22/19,81,25.52,90.21,69.08,4.29
kashi,,,12/31/69,,,,,
margate,75,AU,03/22/19,77,-43.03,147.26,68,9.17
praya,75,ID,03/22/19,70,-8.71,116.27,89.6,12.75
verkh-usugli,20,RU,03/22/19,50,52.7,115.17,23.54,5.41
port lincoln,88,AU,03/22/19,81,-34.72,135.86,71.51,8.21
tiksi,12,RU,03/22/19,70,71.64,128.87,12.74,4.41
papara,75,BR,03/22/19,83,-3.98,-38.73,81,5.82
murshidabad,0,IN,03/22/19,51,24.17,88.27,80.78,4.63
lodja,56,CD,03/22/19,98,-3.52,23.6,69.62,2.95
sao filipe,44,CV,03/22/19,100,14.9,-24.5,69.35,14.14
elizabeth city,1,US,03/22/19,52,36.3,-76.22,48.2,12.75
clyde river,75,CA,03/22/19,75,70.47,-68.59,-18.41,12.75
taksimo,64,RU,03/22/19,66,56.36,114.84,16.7,2.73
slantsy,20,RU,03/22/19,73,59.12,28.09,19.31,4.63
cockburn town,32,TC,03/22/19,100,21.46,-71.14,78.26,6.08
buenos aires,0,AR,03/22/19,68,-34.61,-58.44,66.2,8.05
dudinka,32,RU,03/22/19,77,69.41,86.18,-0.68,4.63
provideniya,92,RU,03/22/19,100,64.42,-173.23,15.62,13.02
longyearbyen,75,NO,03/22/19,79,78.22,15.63,21.2,3.36
sao jose da coroa grande,8,BR,03/22/19,94,-8.9,-35.15,77.9,7.54
virginia beach,1,US,03/22/19,49,36.85,-75.98,46.99,10.29
vondrozo,92,MG,03/22/19,99,-22.82,47.32,69.8,5.19
karaul,,,12/31/69,,,,,
hualmay,0,PE,03/22/19,91,-11.1,-77.61,67.28,4.29
santa rosalia,0,IT,03/22/19,81,38.07,13.27,55.99,1.12
caravelas,100,BR,03/22/19,100,-17.73,-39.27,79.43,20.29
aklavik,90,CA,03/22/19,66,68.22,-135.01,15.8,10.29
kralendijk,68,BQ,03/22/19,78,12.15,-68.27,78.8,14.99
solnechnyy,0,RU,03/22/19,62,50.72,136.64,18.95,3.74
khandyga,0,RU,03/22/19,51,62.65,135.58,4.55,3.4
hameenlinna,90,FI,03/22/19,74,61,24.46,39,16.11
hofn,44,IS,03/22/19,100,64.25,-15.21,36.68,25.43
bam,12,IR,03/22/19,77,29.11,58.36,41.18,2.95
mbini,88,GQ,03/22/19,100,1.58,9.62,74.57,4.41
banda aceh,12,ID,03/22/19,70,5.56,95.32,85.91,2.73
sumbe,48,AO,03/22/19,100,-11.2,13.84,79.79,2.73
linfen,20,CN,03/22/19,49,36.09,111.52,45.77,2.95
balsas,92,BR,03/22/19,95,-7.53,-46.04,72.5,3.18
dapaong,48,TG,03/22/19,69,10.86,0.2,76.55,6.64
kapuskasing,5,CA,03/22/19,77,49.42,-82.43,3.2,3.36
axim,24,GH,03/22/19,97,4.87,-2.24,83.21,9.66
sabha,8,LY,03/22/19,45,27.03,14.43,51.35,6.64
akhisar,0,TR,03/22/19,81,38.92,27.84,32,5.82
pakaur,0,IN,03/22/19,58,24.64,87.92,79.7,4.18
strelka,44,RU,03/22/19,85,58.08,93.03,26.42,3.29
serebryansk,0,KZ,03/22/19,70,49.68,83.3,29.39,2.28
jumla,0,NP,03/22/19,71,29.28,82.18,29.75,1.95
vestmannaeyjar,0,IS,03/22/19,92,63.44,-20.27,36.95,30.91
valle de allende,0,MX,03/22/19,16,26.94,-105.39,60.08,11.79
qasigiannguit,0,GL,03/22/19,57,68.82,-51.19,-11.21,4.7
fallon,1,US,03/22/19,86,46.84,-105.12,37.4,6.93
bani,0,PH,03/22/19,64,15.89,120.27,85.55,2.28
mpwapwa,20,TZ,03/22/19,94,-6.35,36.49,59.81,2.39
hudson,90,US,03/22/19,75,40.07,-104.64,42.8,17.72
maldonado,20,UY,03/22/19,93,-34.91,-54.96,59,2.24
bengkulu,,,12/31/69,,,,,
kloulklubed,75,PW,03/22/19,66,7.04,134.26,86,10.29
presidencia roque saenz pena,0,AR,03/22/19,64,-26.79,-60.44,64.31,7.99
